--gold.txt-------ltp.txt----1
﻿1							      |	﻿
被害人								被害人
亲属								亲属
的								的
谅解								谅解
，								，
宣告								宣告
缓刑								缓刑
对								对
其								其
居住社区						      |	居住
							      >	社区
无								无
重大								重大
不良								不良
影响								影响
，								，
故								故
依法								依法
对								对
其								其
从轻								从轻
处罚								处罚
。								。
、								、
公诉								公诉
机关								机关
指控								指控
被告人								被告人
的								的
罪名								罪名
、								、
情节								情节
成立								成立
，								，
提出								提出
对								对
被告人								被告人
陈某甲							      |	陈某
							      >	甲
在								在
有期徒刑							有期徒刑
一年							      |	一
							      >	年
以下								以下
或								或
拘役								拘役
幅度								幅度
内								内
量刑								量刑
的								的
建议								建议
恰当								恰当
。								。
据此								据此
，								，
依照								依照
《								《
中华人民共和国							中华人民共和国
刑法								刑法
》								》
第一百三十三条						      |	第一百三十三
、							      |	条
第六十七条						      <
第三款							      <
、								、
第七十二条						      |	第六十七
第一款							      |	条
							      >	第三
							      >	款
							      >	、
							      >	第七十二
							      >	条
							      >	第一
							      >	款
							      >	、
							      >	第七十三
							      >	条
							      >	第二
							      >	款
、								、
第七十三条						      |	第三
第二款							      |	款
、							      <
第三款							      <
及								及
《								《
最高人民法院						      |	最高
							      >	人民
							      >	法院
关于								关于
审理								审理
交通肇事						      |	交通
刑事案件						      |	肇事
							      >	刑事
							      >	案件
具体								具体
应用								应用
法律								法律
若干								若干
问题								问题
的								的
解释								解释
》								》
第一条							      |	第一
							      >	条
、								、
第二条							      |	第二
第一款							      |	条
第（一）项						      |	第一
							      >	款
							      >	第（一）
							      >	项
的								的
规定								规定
，								，
判决								判决
如下								如下
:								:
、								、
被告人								被告人
陈某甲							      |	陈某
							      >	甲
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
，								，
判处								判处
有期徒刑							有期徒刑
八个月							      |	八
							      >	个
							      >	月
，								，
缓刑								缓刑
一年							      |	一
							      >	年
。								。
、								、
（								（
缓刑								缓刑
考验								考验
期限								期限
，								，
从								从
判决								判决
确定								确定
之日							      |	之
							      >	日
起								起
计算								计算
）								）
。								。
INSERTIONS:	32
DELETIONS:	4
SUBSTITUTIONS:	23
NCHANGE:	59
NTRUTH:	168
NTEST:	196
TRUE WORDS RECALL:	0.839
TEST WORDS PRECISION:	0.719
--gold.txt-------ltp.txt----15
15								15
:								:
本院								本院
认为								认为
:								:
被告人								被告人
吴某							      |	吴
							      >	某
酒后								酒后
驾驶								驾驶
机动车								机动车
违章								违章
肇事								肇事
，								，
致								致
一人							      |	一
							      >	人
重伤								重伤
，								，
负								负
事故								事故
的								的
主要								主要
责任								责任
，								，
其								其
行为								行为
已								已
构成								构成
交通肇事罪						      |	交通
							      >	肇事罪
，								，
应								应
依法								依法
予以								予以
惩处								惩处
。								。
、								、
公诉								公诉
机关								机关
指控								指控
被告人								被告人
吴某								吴某
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
的								的
事实								事实
清楚								清楚
，								，
证据								证据
确实								确实
充分								充分
，								，
指控								指控
的								的
罪名								罪名
成立								成立
，								，
本院								本院
予以								予以
支持								支持
。								。
、								、
被告人								被告人
吴某								吴某
犯罪								犯罪
后								后
自动								自动
投案								投案
，								，
并								并
如实								如实
供述								供述
自己								自己
的								的
罪行								罪行
，								，
其								其
行为								行为
系								系
自首								自首
，								，
依法								依法
可								可
从轻								从轻
处罚								处罚
。								。
、								、
鉴于								鉴于
被告人								被告人
吴某							      |	吴某案
案发							      |	发
后								后
与								与
被害人								被害人
就								就
民事部分						      |	民事
							      >	部分
已								已
达成								达成
协议								协议
，								，
并								并
取得								取得
谅解								谅解
，								，
有								有
一定								一定
悔罪								悔罪
表现								表现
，								，
可								可
酌情								酌情
从轻								从轻
处罚								处罚
。								。
据此								据此
，								，
本院								本院
依照								依照
《								《
中华人民共和国							中华人民共和国
刑法								刑法
》								》
第一百三十三条						      |	第一百三十三
							      >	条
、								、
第六十七条						      |	第六十七
第一款							      |	条
							      >	第一
							      >	款
							      >	、
							      >	第七十二
							      >	条
							      >	第一
							      >	款
、								、
第七十二条						      |	第七十三
第一款							      |	条
、							      <
第七十三条						      <
第二								第二
、								、
三款							      |	三
							      >	款
以及								以及
最高人民法院						      |	最高
							      >	人民
							      >	法院
《								《
关于								关于
处理								处理
自首								自首
和								和
立功								立功
具体								具体
应用								应用
法律								法律
若干								若干
问题								问题
的								的
解释								解释
》								》
第一条							      |	第一
							      >	条
、								、
第三条							      |	第三
							      >	条
之								之
规定								规定
，								，
判决								判决
如下								如下
:								:
、								、
被告人								被告人
吴某								吴某
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
，								，
判处								判处
有期徒刑							有期徒刑
一年							      |	一
							      >	年
，								，
缓刑								缓刑
一年							      |	一
							      >	年
（								（
缓刑								缓刑
考验								考验
期限								期限
，								，
从								从
判决								判决
确定								确定
之日							      |	之
							      >	日
起								起
计算								计算
）								）
。								。
INSERTIONS:	22
DELETIONS:	2
SUBSTITUTIONS:	20
NCHANGE:	44
NTRUTH:	182
NTEST:	202
TRUE WORDS RECALL:	0.879
TEST WORDS PRECISION:	0.792
--gold.txt-------ltp.txt----16
16								16
:								:
本院								本院
认为								认为
，								，
被告人								被告人
欧某某							      |	欧
							      >	某某
违反								违反
交通								交通
运输								运输
管理								管理
法规								法规
因而								因而
发生								发生
重大								重大
事故								事故
，								，
致								致
二人							      |	二
							      >	人
死亡								死亡
，								，
情节								情节
特别								特别
恶劣								恶劣
，								，
其								其
行为								行为
符合								符合
交通肇事罪						      |	交通
							      >	肇事罪
的								的
构成								构成
要件							      |	要
							      >	件
，								，
已								已
构成								构成
交通肇事罪						      |	交通
							      >	肇事
							      >	罪
。								。
、								、
公诉								公诉
机关								机关
指控								指控
罪名								罪名
成立								成立
。								。
、								、
辩护人								辩护人
提出								提出
对								对
被告人								被告人
欧某某							      |	欧
							      >	某某
应当								应当
以								以
自首								自首
论处								论处
的								的
辩护								辩护
意见								意见
，								，
理由								理由
不足								不足
，								，
本院								本院
不予								不予
支持								支持
；								；
辩护人								辩护人
提出								提出
其他								其他
对								对
被告人								被告人
从轻								从轻
处罚								处罚
的								的
辩护								辩护
意见								意见
，								，
理由								理由
正当								正当
，								，
本院								本院
予以								予以
采信								采信
。								。
、								、
根据								根据
被告人								被告人
欧某某							      |	欧
							      >	某某
的								的
犯罪								犯罪
事实								事实
和								和
性质								性质
，								，
对								对
其								其
依法								依法
应在							      |	应
							      >	在
“								“
三年							      |	三
							      >	年
以上								以上
七年							      |	七
							      >	年
以下								以下
有期徒刑							有期徒刑
”								”
的								的
法定								法定
幅度								幅度
以内								以内
处以							      |	处
							      >	以
适当								适当
刑罚								刑罚
。								。
、								、
在								在
对								对
被告人								被告人
欧某某							      |	欧
							      >	某某
量刑								量刑
过程								过程
中								中
，								，
本院								本院
充分								充分
考虑								考虑
了								了
以下								以下
量刑								量刑
情节								情节
:								:
1								1
、								、
被告人								被告人
欧某某							      |	欧
							      >	某某
如实								如实
供述								供述
自己								自己
的								的
罪行								罪行
，								，
确有							      |	确
							      >	有
悔罪								悔罪
表现								表现
，								，
可								可
依法								依法
予以								予以
从轻								从轻
处罚								处罚
；								；
2								2
、								、
被告人								被告人
欧某某							      |	欧
							      >	某某
积极								积极
赔偿								赔偿
被害方								被害方
的								的
经济								经济
损失								损失
，								，
取得								取得
被害方								被害方
的								的
谅解								谅解
，								，
可								可
酌情								酌情
予以								予以
从轻								从轻
处罚								处罚
。								。
、								、
综上								综上
，								，
被告人								被告人
欧某某							      |	欧
							      >	某某
的								的
犯罪								犯罪
情节								情节
较轻							      |	较
							      >	轻
，								，
有								有
悔罪								悔罪
表现								表现
，								，
没有								没有
再								再
犯罪								犯罪
的								的
危险								危险
，								，
宣告								宣告
缓刑								缓刑
对								对
所居住							      |	所
							      >	居住
社区								社区
没有								没有
重大								重大
不良								不良
影响								影响
，								，
依法								依法
可以								可以
对								对
其								其
宣告								宣告
缓刑								缓刑
。								。
依照								依照
《								《
中华人民共和国							中华人民共和国
刑法								刑法
》								》
第一百三十三条						      |	第一百三十三
							      >	条
、								、
第六十七条第三款					      |	第六十七
							      >	条
							      >	第三
							      >	款
							      >	、
							      >	第七十二
							      >	条
							      >	第一
							      >	款
							      >	、
							      >	第七十三
							      >	条
							      >	第二
							      >	款
、								、
第七十二条						      |	第三
第一款							      |	款
、							      <
第七十三条						      <
第二款							      <
、							      <
第三款							      <
、								、
《								《
最高人民法院						      |	最高
							      >	人民
							      >	法院
关于								关于
审理								审理
交通肇事						      |	交通
刑事案件						      |	肇事
							      >	刑事
							      >	案件
具体								具体
应用								应用
法律								法律
若干								若干
问题								问题
的								的
解释								解释
》								》
第四条							      |	第四
第（一）项						      |	条
							      >	第（一）
							      >	项
的								的
规定								规定
，								，
判决								判决
如下								如下
:								:
、								、
被告人								被告人
欧某某							      |	欧
							      >	某某
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
，								，
判处								判处
有期徒刑							有期徒刑
三年							      |	三
							      >	年
，								，
缓刑								缓刑
五年							      |	五
							      >	年
。								。
、								、
（								（
缓刑								缓刑
考验								考验
期限								期限
，								，
从								从
判决								判决
确定								确定
之日							      |	之
							      >	日
起								起
计算								计算
）								）
。								。
INSERTIONS:	44
DELETIONS:	5
SUBSTITUTIONS:	32
NCHANGE:	81
NTRUTH:	274
NTEST:	313
TRUE WORDS RECALL:	0.865
TEST WORDS PRECISION:	0.757
--gold.txt-------ltp.txt----17
17								17
:								:
本院								本院
认为								认为
，								，
被告人								被告人
姬某某							      |	姬
							      >	某某
违章								违章
驾驶								驾驶
车辆								车辆
，								，
致								致
人								人
死亡								死亡
，								，
负								负
事故								事故
的								的
全部								全部
责任								责任
，								，
其								其
行为								行为
构成								构成
交通肇事罪						      |	交通
							      >	肇事
							      >	罪
。								。
、								、
公诉								公诉
机关								机关
指控								指控
的								的
事实								事实
清楚								清楚
，								，
证据								证据
充分								充分
，								，
罪名								罪名
成立								成立
，								，
予以								予以
支持								支持
。								。
、								、
案发								案发
后								后
，								，
被告人								被告人
积极								积极
抢救								抢救
被害人								被害人
，								，
并								并
委托								委托
其								其
亲属								亲属
报案								报案
，								，
应								应
认定								认定
自首								自首
，								，
可								可
从轻								从轻
处罚								处罚
。								。
视								视
本案								本案
民事								民事
赔偿								赔偿
部分								部分
已								已
达成								达成
和解								和解
协议								协议
并								并
已								已
履行								履行
等								等
情节								情节
，								，
故								故
依照								依照
《								《
中华人民共和国							中华人民共和国
刑法								刑法
》								》
第一百三十三条						      |	第一百三十三
							      >	条
（								（
交通肇事罪						      |	交通
							      >	肇事罪
）								）
、								、
第六十七条						      |	第六十七
							      >	条
（								（
自首								自首
）								）
、								、
第七十二条						      |	第七十二
							      >	条
、								、
第七十三条						      |	第七十三
							      >	条
（								（
缓刑								缓刑
）								）
之								之
规定								规定
，								，
判决								判决
如下								如下
:								:
、								、
被告人								被告人
姬某某							      |	姬
							      >	某某
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
，								，
判处								判处
有期徒刑							有期徒刑
一年							      |	一
三个月							      |	年
							      >	三
							      >	个
							      >	月
，								，
缓刑								缓刑
二年							      |	二
							      >	年
。								。
、								、
（								（
缓刑								缓刑
考验期							      |	考验
							      >	期
从								从
判决								判决
确定								确定
之日							      |	之
							      >	日
起								起
计算								计算
。								。
INSERTIONS:	16
DELETIONS:	0
SUBSTITUTIONS:	14
NCHANGE:	30
NTRUTH:	134
NTEST:	150
TRUE WORDS RECALL:	0.896
TEST WORDS PRECISION:	0.800
--gold.txt-------ltp.txt----18
18								18
:								:
本院								本院
认为								认为
，								，
被告人								被告人
周某某							      |	周
							      >	某某
违反								违反
道路								道路
交通								交通
安全								安全
法规								法规
，								，
超载								超载
驾驶								驾驶
机动车								机动车
，								，
致								致
一人							      |	一
							      >	人
死亡								死亡
，								，
且								且
负								负
事故								事故
的								的
全部								全部
责任								责任
，								，
其								其
行为								行为
已								已
构成								构成
交通肇事罪						      |	交通
							      >	肇事
							      >	罪
。								。
、								、
公诉								公诉
机关								机关
指控								指控
的								的
事实								事实
和								和
罪名								罪名
成立								成立
。								。
、								、
事故								事故
发生								发生
后								后
，								，
被告人								被告人
周某某							      |	周
							      >	某某
积极								积极
保护								保护
现场								现场
，								，
报警								报警
等待								等待
交警								交警
部门								部门
处置								处置
，								，
且								且
如实								如实
供述								供述
了								了
自己								自己
的								的
犯罪								犯罪
事实								事实
，								，
系								系
自首								自首
，								，
依法								依法
对								对
其								其
从轻								从轻
处罚								处罚
。								。
、								、
被告人								被告人
归案								归案
后								后
认罪								认罪
态度								态度
好								好
，								，
积极								积极
赔偿								赔偿
了								了
被害人								被害人
的								的
经济								经济
损失								损失
，								，
得到								得到
了								了
被害人								被害人
家属								家属
的								的
谅解								谅解
，								，
酌情								酌情
对其							      |	对
							      >	其
从轻								从轻
处罚								处罚
。								。
、								、
石首市								石首市
社区								社区
矫正								矫正
工作								工作
管理局								管理局
提出								提出
了								了
对								对
被告人								被告人
周某某							      |	周
							      >	某某
适用								适用
非监禁刑						      |	非监禁
							      >	刑
的								的
建议								建议
，								，
其								其
所在							      |	所
							      >	在
社区								社区
亦								亦
同意								同意
对								对
被告人								被告人
周某某							      |	周
							      >	某某
矫正								矫正
，								，
故								故
依法								依法
对								对
其								其
适用								适用
缓刑								缓刑
。								。
根据								根据
被告人								被告人
的								的
犯罪事实						      |	犯罪
							      >	事实
、								、
犯罪								犯罪
性质								性质
、								、
犯罪								犯罪
情节								情节
及								及
对								对
社会								社会
的								的
危害程度						      |	危害
							      >	程度
，								，
依照								依照
《								《
中华人民共和国							中华人民共和国
刑法								刑法
》								》
第一百三十三条						      |	第一百三十三
、							      |	条
第六十七条						      <
第一款							      <
、								、
第七十二条						      |	第六十七
第一款							      |	条
							      >	第一
							      >	款
							      >	、
							      >	第七十二
							      >	条
							      >	第一
							      >	款
							      >	、
							      >	第七十三
							      >	条
							      >	第二
							      >	款
、								、
第七十三条						      |	第三
第二款							      |	款
、								、
第三款							      |	第六十一
、							      |	条
第六十一条						      <
的								的
规定								规定
，								，
判决								判决
如下								如下
:								:
、								、
被告人								被告人
周某某							      |	周
							      >	某某
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
，								，
判处								判处
有期徒刑							有期徒刑
一年							      |	一
三个月							      |	年
							      >	三
							      >	个
							      >	月
，								，
缓刑								缓刑
一年							      |	一
六个月							      |	年
							      >	六
							      >	个
							      >	月
。								。
、								、
（								（
缓刑								缓刑
考验								考验
期限								期限
，								，
从								从
判决								判决
确定								确定
之日							      |	之
							      >	日
起								起
计算								计算
）								）
。								。
INSERTIONS:	33
DELETIONS:	3
SUBSTITUTIONS:	26
NCHANGE:	62
NTRUTH:	210
NTEST:	240
TRUE WORDS RECALL:	0.862
TEST WORDS PRECISION:	0.754
--gold.txt-------ltp.txt----19
19								19
:								:
本院								本院
认为								认为
，								，
被告人								被告人
彭某								彭某
违反								违反
交通								交通
运输								运输
管理								管理
法规								法规
，								，
因而								因而
发生								发生
重大								重大
事故								事故
，								，
致								致
一人							      |	一
							      >	人
死亡								死亡
，								，
并								并
负								负
事故								事故
的								的
全部								全部
责任								责任
，								，
其								其
行为								行为
已								已
构成								构成
交通肇事罪						      |	交通
							      >	肇事
							      >	罪
。								。
、								、
被告人								被告人
彭某								彭某
犯罪								犯罪
以后								以后
主动								主动
投案								投案
，								，
并								并
如实								如实
供述								供述
自己								自己
的								的
罪行								罪行
，								，
是								是
自首								自首
，								，
依法								依法
予以								予以
从轻								从轻
处罚								处罚
。								。
、								、
案发								案发
后								后
，								，
被告人								被告人
彭某								彭某
亲属								亲属
主动								主动
提出								提出
由								由
彭某								彭某
额外								额外
赔偿								赔偿
被害人								被害人
亲属								亲属
损失								损失
六万元							      |	六万
							      >	元
并								并
提存								提存
至								至
本院								本院
，								，
酌情								酌情
予以								予以
从轻								从轻
处罚								处罚
。								。
、								、
公诉								公诉
机关								机关
指控								指控
被告人								被告人
彭某								彭某
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
的								的
事实清楚						      |	事实
							      >	清楚
，								，
证据								证据
确实								确实
、								、
充分								充分
，								，
指控								指控
的								的
罪名								罪名
正确								正确
，								，
以								以
被告人								被告人
彭某								彭某
是								是
自首								自首
提请								提请
从轻								从轻
处罚								处罚
的								的
理由								理由
成立								成立
，								，
予以								予以
采纳								采纳
。								。
、								、
对								对
被告人								被告人
彭某								彭某
的								的
辩护人								辩护人
提出								提出
的								的
“								“
被告人								被告人
彭某								彭某
具有								具有
自首								自首
、								、
过失								过失
犯罪								犯罪
、								、
除								除
保险								保险
以外								以外
再								再
赔偿								赔偿
六万元							      |	六万
							      >	元
给								给
被害人								被害人
亲属								亲属
等								等
从轻								从轻
处罚								处罚
情节								情节
，								，
建议								建议
适用								适用
缓刑								缓刑
”								”
的								的
辩护								辩护
意见								意见
，								，
经查							      |	经
							      >	查
，								，
事实								事实
存在								存在
，								，
符合								符合
法律								法律
规定								规定
，								，
予以								予以
采纳								采纳
。								。
、								、
鉴于								鉴于
被告人								被告人
彭某								彭某
归案								归案
后								后
认罪								认罪
态度								态度
较好							      |	较
							      >	好
，								，
可								可
依法								依法
适用								适用
缓刑								缓刑
并								并
给予								给予
一定								一定
的								的
缓刑								缓刑
考验								考验
期限								期限
。								。
据此								据此
，								，
依照								依照
《								《
中华人民共和国							中华人民共和国
刑事							      |	刑事诉讼法
诉讼法							      <
》								》
第一百零二条						      |	第一百零二
							      >	条
、								、
《								《
中华人民共和国刑法					      |	中华人民共和国
							      >	刑法
》								》
第一百三十三条						      |	第一百三十三
							      >	条
、								、
第六十七条						      |	第六十七
第一款							      |	条
							      >	第一
							      >	款
							      >	、
							      >	第七十二
							      >	条
							      >	第一
							      >	款
、								、
第七十二条						      |	第七十三
第一款							      |	条
、							      <
第七十三条						      <
第二								第二
、								、
三款							      |	三
							      >	款
之								之
规定								规定
，								，
判决								判决
如下								如下
:								:
、								、
被告人								被告人
彭某								彭某
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
，								，
判处								判处
有期徒刑							有期徒刑
一年							      |	一
六个月							      |	年
							      >	六
							      >	个
							      >	月
，								，
缓刑								缓刑
二年							      |	二
							      >	年
。								。
、								、
（								（
缓刑								缓刑
考验								考验
期限								期限
，								，
从								从
判决								判决
确定								确定
之日							      |	之
							      >	日
起								起
计算								计算
。								。
INSERTIONS:	26
DELETIONS:	3
SUBSTITUTIONS:	22
NCHANGE:	51
NTRUTH:	252
NTEST:	275
TRUE WORDS RECALL:	0.901
TEST WORDS PRECISION:	0.825
--gold.txt-------ltp.txt----20
20								20
:								:
本院								本院
认为								认为
，								，
被告人								被告人
徐某某							      |	徐
							      >	某某
违反								违反
交通								交通
运输								运输
管理								管理
法规								法规
，								，
因而								因而
发生								发生
交通								交通
事故								事故
，								，
致								致
一人							      |	一
							      >	人
死亡								死亡
，								，
负								负
此								此
事故								事故
全部责任						      |	全部
							      >	责任
，								，
且								且
肇事								肇事
后								后
逃逸								逃逸
，								，
其								其
行为								行为
构成								构成
交通肇事罪						      |	交通
							      >	肇事
							      >	罪
。								。
、								、
夹江县								夹江县
人民检察院						      |	人民
							      >	检察院
指控								指控
的								的
罪名								罪名
成立								成立
。								。
、								、
被告人								被告人
徐某某							      |	徐
							      >	某某
犯罪								犯罪
后								后
自动投案						      |	自动
							      >	投案
并								并
如实								如实
供述								供述
自己								自己
的								的
罪行								罪行
，								，
系								系
自首								自首
，								，
可以								可以
从轻								从轻
处罚								处罚
。								。
、								、
被告人								被告人
徐某某							      |	徐
案发							      |	某某
							      >	案
							      >	发
后								后
赔偿								赔偿
了								了
被害人								被害人
亲属								亲属
经济								经济
损失								损失
并								并
取得								取得
谅解								谅解
，								，
可以								可以
酌情								酌情
从轻								从轻
处罚								处罚
。								。
、								、
辩护人								辩护人
关于								关于
被告人								被告人
徐某某							      |	徐
							      >	某某
系								系
自首								自首
、								、
初犯								初犯
且								且
在								在
案发								案发
后								后
对								对
被害人								被害人
的								的
亲属								亲属
予以								予以
赔偿								赔偿
并								并
取得								取得
谅解								谅解
，								，
具有								具有
法定								法定
、								、
酌定								酌定
从轻								从轻
处罚								处罚
，								，
可以								可以
对其							      |	对
							      >	其
从轻								从轻
处罚								处罚
的								的
意见								意见
，								，
与								与
查明								查明
的								的
事实								事实
相符								相符
，								，
符合								符合
法律								法律
规定								规定
，								，
本院								本院
予以								予以
采纳								采纳
。								。
、								、
根据								根据
被告人								被告人
徐某某							      |	徐
							      >	某某
的								的
犯罪								犯罪
情节								情节
，								，
社会								社会
危害								危害
程度								程度
和								和
悔罪								悔罪
表现								表现
，								，
对								对
其								其
适用								适用
缓刑								缓刑
没有								没有
再犯罪							      |	再
							      >	犯罪
的								的
危险								危险
，								，
同时								同时
对								对
所居住							      |	所
							      >	居住
社区								社区
没有								没有
重大								重大
不良								不良
影响								影响
，								，
可以								可以
对								对
其								其
适用								适用
缓刑								缓刑
。								。
据此								据此
，								，
依照								依照
《								《
中华人民共和国							中华人民共和国
刑法								刑法
》								》
第一百三十三条						      |	第一百三十三
、							      |	条
第六十七条						      <
第一款							      <
、								、
第七十二条						      |	第六十七
第一款							      |	条
							      >	第一
							      >	款
							      >	、
							      >	第七十二
							      >	条
							      >	第一
							      >	款
之								之
规定								规定
，								，
判决								判决
如下								如下
:								:
、								、
被告人								被告人
徐某某							      |	徐
							      >	某某
犯								犯
交通肇事罪						      |	交通
							      >	肇事罪
，								，
判处								判处
有期徒刑							有期徒刑
三年							      |	三
							      >	年
，								，
缓刑								缓刑
四年							      |	四
							      >	年
。								。
、								、
（								（
缓刑								缓刑
考验								考验
期限								期限
，								，
从								从
判决								判决
确定								确定
之日							      |	之
							      >	日
起								起
计算								计算
）								）
。								。
INSERTIONS:	27
DELETIONS:	2
SUBSTITUTIONS:	23
NCHANGE:	52
NTRUTH:	222
NTEST:	247
TRUE WORDS RECALL:	0.887
TEST WORDS PRECISION:	0.798
=== SUMMARY:
=== TOTAL INSERTIONS:	699
=== TOTAL DELETIONS:	134
=== TOTAL SUBSTITUTIONS:	940
=== TOTAL NCHANGE:	1773
=== TOTAL TRUE WORD COUNT:	4723
=== TOTAL TEST WORD COUNT:	5288
=== TOTAL TRUE WORDS RECALL:	0.773
=== TOTAL TEST WORDS PRECISION:	0.690
=== F MEASURE:	0.729
=== OOV Rate:	1.000
=== OOV Recall Rate:	0.773
=== IV Recall Rate:	--
###	ltp.txt	699	134	940	1773	4723	5288	0.773	0.690	0.729	1.000	0.773	--
